data,hora,irradiacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,temperatura,vento_dir,vento_vel
10/10/2019,00:02,0,3.49,0.12,0,0,28.83,0.08,0,0,0.44,23.19,90,0
10/10/2019,00:03,0,3.19,0.11,0,0,26.32,0.07,0,0,0.45,23.25,180,0
10/10/2019,00:04,0,3.21,0.11,0,0,26.48,0.07,0,0,0.44,23.25,90,0
10/10/2019,00:05,0,3.86,0.13,0,0,31.82,0.09,0,0,0.44,23.31,135,0
10/10/2019,00:06,0,3.31,0.11,0,0,27.32,0.08,0,0,0.44,23.06,90,0
10/10/2019,00:07,0,3.93,0.13,0,0,32.44,0.09,0,0,0.45,23.06,90,0
10/10/2019,00:08,0,3.48,0.12,0,0,28.75,0.08,0,0,0.44,22.94,135,0
10/10/2019,00:09,0,3.44,0.11,0,0,28.41,0.08,0,0,0.45,22.75,135,0
10/10/2019,00:10,0,3.46,0.12,0,0,28.59,0.08,0,0,0.45,22.81,135,0
10/10/2019,00:11,0,3.78,0.13,0,0,31.19,0.09,0,0,0.44,22.94,135,0
10/10/2019,00:12,0,3.26,0.11,0,0,26.91,0.07,0,0,0.45,22.81,135,0
10/10/2019,00:13,0,3.46,0.12,0,0,28.51,0.08,0,0,0.44,22.81,135,0
10/10/2019,00:14,0,3.7,0.12,0,0,30.49,0.08,0,0,0.45,22.94,180,0
10/10/2019,00:15,0,3.54,0.12,0,0,29.23,0.08,0,0,0.46,22.94,90,0
10/10/2019,00:16,0,3.66,0.12,0,0,30.23,0.08,0,0,0.44,22.94,135,0
10/10/2019,00:17,0,3.57,0.12,0,0,29.46,0.08,0,0,0.44,23.06,90,0
10/10/2019,00:18,0.6,3.35,0.11,0,0,27.66,0.08,0,0,0.46,23,90,0
10/10/2019,00:19,0,3.82,0.13,0,0,31.48,0.09,0,0,0.47,22.75,135,0
10/10/2019,00:20,0,3.53,0.12,0,0,29.09,0.08,0,0,0.44,22.81,90,0
10/10/2019,00:21,0,3.81,0.13,0,0,31.41,0.09,0,0,0.45,22.88,90,0
10/10/2019,00:22,0,3.82,0.13,0,0,31.53,0.09,0,0,0.45,22.69,135,0
10/10/2019,00:23,0,3.83,0.13,0,0,31.62,0.09,0,0,0.44,22.75,135,0
10/10/2019,00:24,0,3.45,0.11,0,0,28.45,0.08,0,0,0.43,22.94,135,0
10/10/2019,00:25,0,3.99,0.13,0,0,32.96,0.09,0,0,0.45,22.75,135,0
10/10/2019,00:26,0,3.56,0.12,0,0,29.4,0.08,0,0,0.46,22.69,90,0
10/10/2019,00:27,0,3.77,0.13,0,0,31.12,0.09,0,0,0.44,22.69,90,0
10/10/2019,00:28,4.56,3.66,0.12,0,0,30.23,0.08,0,0,0.44,22.81,135,0
10/10/2019,00:29,0,3.71,0.12,0,0,30.59,0.08,0,0,0.44,22.69,135,0
10/10/2019,00:30,0,4.09,0.14,0,0,33.73,0.09,0,0,0.44,22.69,135,0
10/10/2019,00:31,0,3.86,0.13,0,0,31.82,0.09,0,0,0.43,22.44,180,0
10/10/2019,00:32,0,3.43,0.11,0,0,28.3,0.08,0,0,0.45,22.44,135,0
10/10/2019,00:33,0,3.76,0.13,0,0,31.01,0.09,0,0,0.45,22.5,90,0
10/10/2019,00:34,0,3.84,0.13,0,0,31.7,0.09,0,0,0.45,22.56,90,0
10/10/2019,00:35,0,4.02,0.13,0,0,33.2,0.09,0,0,0.47,22.5,90,0
10/10/2019,00:36,0,4.19,0.14,0,0,34.54,0.09,0,0,0.46,22.5,135,0
10/10/2019,00:37,0,3.94,0.13,0,0,32.52,0.09,0,0,0.46,22.31,135,0
10/10/2019,00:38,0,3.86,0.13,0,0,31.84,0.09,0,0,0.47,22.38,135,0
10/10/2019,00:39,0,3.44,0.11,0,0,28.38,0.08,0,0,0.46,22.31,90,0
