data,hora,irradiacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,temperatura,vento_dir,vento_vel
04/10/2019,00:01,0,11.37,0.38,0,0,93.8,0.26,0,0,0.5,24,135,0
04/10/2019,00:02,0,11.73,0.39,0,0,96.79,0.27,0,0,0.49,24.06,135,0
04/10/2019,00:03,0,12.27,0.41,0,0,101.25,0.28,0,0,0.46,24.12,135,0
04/10/2019,00:04,0,12.02,0.4,0,0,99.16,0.27,0,0,0.45,24.06,135,0
04/10/2019,00:05,0,10.96,0.36,0,0,90.4,0.25,0,0,0.5,24,135,0
04/10/2019,00:06,0,12.07,0.4,0,0,99.56,0.27,0,0,0.48,24,135,0
04/10/2019,00:07,0,11.27,0.37,0,0,92.94,0.26,0,0,0.5,23.81,135,0
04/10/2019,00:08,0,11.96,0.4,0,0,98.64,0.27,0,0,0.49,23.75,135,0
04/10/2019,00:09,0,11.85,0.39,0,0,97.73,0.27,0,0,0.49,23.81,135,0
04/10/2019,00:10,0,11.35,0.38,0,0,93.65,0.26,0,0,0.45,23.75,135,0
04/10/2019,00:11,0,11.32,0.38,0,0,93.4,0.26,0,0,0.47,23.75,135,0
04/10/2019,00:12,0,11.12,0.37,0,0,91.71,0.25,0,0,0.47,23.62,135,0
04/10/2019,00:13,0,10.73,0.36,0,0,88.53,0.24,0,0,0.47,23.88,135,0
04/10/2019,00:14,0,11.34,0.38,0,0,93.53,0.26,0,0,0.47,23.94,135,0
04/10/2019,00:15,0,10.23,0.34,0,0,84.38,0.23,0,0,0.48,23.94,135,0
04/10/2019,00:16,0,10.15,0.34,0,0,83.75,0.23,0,0,0.48,23.94,135,0
04/10/2019,00:17,4.56,10.21,0.34,0,0,84.24,0.23,0,0,0.48,23.88,135,0
04/10/2019,00:18,0,11.51,0.38,0,0,94.99,0.26,0,0,0.46,23.81,135,0
04/10/2019,00:19,0,10.13,0.34,0,0,83.6,0.23,0,0,0.45,23.94,135,0
04/10/2019,00:20,0,11.07,0.37,0,0,91.36,0.25,0,0,0.48,23.69,135,0
04/10/2019,00:21,0,10.09,0.34,0,0,83.22,0.23,0,0,0.51,23.62,135,0
04/10/2019,00:22,0,11.27,0.38,0,0,93,0.26,0,0,0.48,23.44,135,0
04/10/2019,00:23,0,10.3,0.34,0,0,85.01,0.23,0,0,0.47,23.38,135,0
04/10/2019,00:24,0,10.29,0.34,0,0,84.9,0.23,0,0,0.49,23.38,90,0
04/10/2019,00:25,2.58,9.39,0.31,0,0,77.47,0.21,0,0,0.5,23.5,90,0
04/10/2019,00:26,0,10.21,0.34,0,0,84.25,0.23,0,0,0.5,23.56,90,0
04/10/2019,00:27,0,8.49,0.28,0,0,70.05,0.19,0,0,0.48,24.19,135,0
04/10/2019,00:28,0,8.24,0.27,0,0,68.02,0.19,0,0,0.47,24.19,135,0
04/10/2019,00:29,0,8.77,0.29,0,0,72.38,0.2,0,0,0.49,24.31,135,0
04/10/2019,00:30,0,8.77,0.29,0,0,72.39,0.2,0,0,0.5,24,135,0
04/10/2019,00:31,2.58,8.48,0.28,0,0,69.98,0.19,0,0,0.49,24,135,0
04/10/2019,00:32,0,8.65,0.29,0,0,71.33,0.2,0,0,0.48,24,135,0
04/10/2019,00:33,0,8.72,0.29,0,0,71.91,0.2,0,0,0.48,24.06,135,0
04/10/2019,00:34,2.58,8.77,0.29,0,0,72.38,0.2,0,0,0.49,23.94,135,0
04/10/2019,00:35,0,8.68,0.29,0,0,71.65,0.2,0,0,0.49,24,135,0
04/10/2019,00:36,0,9.59,0.32,0,0,79.13,0.22,0,0,0.48,24,135,0
